Prefix               ; Length ; Type       ; Tariff        ; Area Code Length ; National Only ; Operator                    ; Format          ; Timezone                                              ; Regions    ; Geocode:en                                                                                                                                                                              ; Provenance ; Comment
238071               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Nerriga"                                                                                                                                                                               ; GOVERNMENT
238072               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Paddys River"                                                                                                                                                                          ; GOVERNMENT
238073               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Reidsdale"                                                                                                                                                                             ; GOVERNMENT
238074               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Robertson"                                                                                                                                                                             ; GOVERNMENT
238075               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Rugby"                                                                                                                                                                                 ; GOVERNMENT
238076               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tarago"                                                                                                                                                                                ; GOVERNMENT
238077               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Taralga"                                                                                                                                                                               ; GOVERNMENT
238078               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Tuena"                                                                                                                                                                                 ; GOVERNMENT
238079               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Wombeyan Caves"                                                                                                                                                                        ; GOVERNMENT
238080               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Woodhouselee"                                                                                                                                                                          ; GOVERNMENT
238081               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Yerrinbool"                                                                                                                                                                            ; GOVERNMENT
23808[2-48]          ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bowral"                                                                                                                                                                                ; GOVERNMENT
238085               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Barrallier"                                                                                                                                                                            ; GOVERNMENT
238086               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bevendale"                                                                                                                                                                             ; GOVERNMENT
238087               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Binda"                                                                                                                                                                                 ; GOVERNMENT
238089               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Braidwood"                                                                                                                                                                             ; GOVERNMENT
238090               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Breadalbane"                                                                                                                                                                           ; GOVERNMENT
238091               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bundanoon"                                                                                                                                                                             ; GOVERNMENT
238092               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Bungonia"                                                                                                                                                                              ; GOVERNMENT
238093               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Crookwell"                                                                                                                                                                             ; GOVERNMENT
238094               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Golspie"                                                                                                                                                                               ; GOVERNMENT
238095               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Goulburn"                                                                                                                                                                              ; GOVERNMENT
238096               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gundillion"                                                                                                                                                                            ; GOVERNMENT
238097               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Gunning"                                                                                                                                                                               ; GOVERNMENT
238098               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Lost River"                                                                                                                                                                            ; GOVERNMENT
238099               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Marulan"                                                                                                                                                                               ; GOVERNMENT
238100               ; 9      ; FIXED_LINE ; STANDARD_RATE ; 1                ; false         ;                             ; "fixed_1/4/4"   ; "Australia/Sydney"                                    ; "AU"       ; "Nerriga"                                                                                                                                                                               ; GOVERNMENT
